IDDistrict,Year,District,same_as_wikidata_district,DogsNumber
2,2021,Arganzuela,https://wikidata.org/entity/Q2000929,10843
21,2021,Barajas,https://wikidata.org/entity/Q807230,5139
11,2021,Carabanchel,https://wikidata.org/entity/Q1001991,20595
1,2021,Centro,https://wikidata.org/entity/Q1763376,16442
5,2021,Chamartin,https://wikidata.org/entity/Q1766348,11361
7,2021,Chamberi,https://wikidata.org/entity/Q1763370,13632
15,2021,Ciudad Lineal,https://wikidata.org/entity/Q1763694,17764
8,2021,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,17712
16,2021,Hortaleza,https://wikidata.org/entity/Q1928529,16057
10,2021,Latina,https://wikidata.org/entity/Q794954,19253
9,2021,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,12572
14,2021,Moratalaz,https://wikidata.org/entity/Q2076109,6865
13,2021,Puente de Vallecas,https://wikidata.org/entity/Q2003054,23675
3,2021,Retiro,https://wikidata.org/entity/Q2002296,7942
4,2021,Salamanca,https://wikidata.org/entity/Q1773521,13880
20,2021,San Blas,https://wikidata.org/entity/Q2001937,14538
6,2021,Tetuan,https://wikidata.org/entity/Q1773540,12607
12,2021,Usera,https://wikidata.org/entity/Q953368,12519
19,2021,Vicalvaro,https://wikidata.org/entity/Q589403,5335
18,2021,Villa de Vallecas,https://wikidata.org/entity/Q1947988,10114
17,2021,Villaverde,https://wikidata.org/entity/Q919536,13470
